pi,year,doi,title,title_clean
Jong Chung,2011,10.1186/1477-7819-9-123,Residual tumor after the salvage surgery is the major risk factors for primary treatment failure in malignant ovarian germ cell tumors: A retrospective study of single institution,residual tumor after the salvage surgery is the major risk factors for primary treatment failure in malignant ovarian germ cell tumors: a retrospective study of single institution
Jong Chung,2017,10.1080/00913847.2017.1376572,A history of concussions is associated with symptoms of common mental disorders in former male professional athletes across a range of sports,a history of concussions is associated with symptoms of common mental disorders in former male professional athletes across a range of sports
Jong Chung,2011,10.1292/jvms.10-0351,Differentiation of Foot-and-Mouth Disease-Infected pigs from Vaccinated Pigs Using Antibody-Detecting Sandwich ELISA,differentiation of foot-and-mouth disease-infected pigs from vaccinated pigs using antibody-detecting sandwich elisa
Jong Chung,2017,10.1021/acsami.7b07813,"Oxygen Partial Pressure during Pulsed Laser Deposition: Deterministic
  Role on Thermodynamic Stability of Atomic Termination Sequence at
  SrRuO3/BaTiO3 Interface","oxygen partial pressure during pulsed laser deposition: deterministic
  role on thermodynamic stability of atomic termination sequence at
  srruo3/batio3 interface"
Jong Chung,2010,10.3341/kjo.2010.24.5.314,Two Cases of Mirror-Image Eye Anomalies in Monozygotic Twins,two cases of mirror-image eye anomalies in monozygotic twins
Jong Chung,2015,10.1016/j.neuron.2015.02.041,Traumatic Brain Injury and the Neuronal Microenvironment: A Potential Role for Neuropathological Mechanotransduction ,traumatic brain injury and the neuronal microenvironment: a potential role for neuropathological mechanotransduction
Jong Chung,2021,10.1186/s42826-021-00091-3,Intratracheal inoculation of human varicella zoster virus (VZV; MAV strain) vaccine successfully induced VZV IgG antibodies in rhesus monkeys,intratracheal inoculation of human varicella zoster virus (vzv; mav strain) vaccine successfully induced vzv igg antibodies in rhesus monkeys
Jong Chung,2011,10.1186/1475-2840-10-16,The association of dimethylarginine dimethylaminohydrolase 1 gene polymorphism with type 2 diabetes: a cohort study,the association of dimethylarginine dimethylaminohydrolase 1 gene polymorphism with type 2 diabetes: a cohort study
Jong Chung,2011,10.3341/kjo.2011.25.5.323,Short-Term Effects of Ginkgo biloba Extract on Peripapillary Retinal Blood Flow in Normal Tension Glaucoma,short-term effects of ginkgo biloba extract on peripapillary retinal blood flow in normal tension glaucoma
Jong Chung,2010,10.1590/s1678-77572010000400016,Comparison of implant stability after different implant surface treatments in dog bone,comparison of implant stability after different implant surface treatments in dog bone
Jong Chung,2011,10.5772/17143,Quartz crystal microbalance in clinical application,quartz crystal microbalance in clinical application
Jong Chung,2002,10.3346/jkms.2002.17.3.415,Hepatic resection of metastatic tumor from serous cystadenocarcinoma of the ovary.,hepatic resection of metastatic tumor from serous cystadenocarcinoma of the ovary.
Jong Chung,2011,10.1016/j.jcma.2011.03.009,Primary ovary transitional cell carcinoma after renal transplantation ,primary ovary transitional cell carcinoma after renal transplantation
Jong Chung,2013,10.1016/j.jacc.2013.02.033,The Incidence and Clinical Outcome of Constrictive Physiology After Coronary Artery Bypass Graft Surgery ,the incidence and clinical outcome of constrictive physiology after coronary artery bypass graft surgery
Jong Chung,2020,10.14348/molcells.2019.0190,Whole Genome Analysis of the Red-Crowned Crane Provides Insight into Avian Longevity,whole genome analysis of the red-crowned crane provides insight into avian longevity
Jong Chung,2010,10.1186/1744-9081-6-44,Association between polymorphisms of arachidonate 12-lipoxygenase (ALOX12) and schizophrenia in a Korean population,association between polymorphisms of arachidonate 12-lipoxygenase (alox12) and schizophrenia in a korean population
Jong Chung,2012,10.4250/jcu.2012.20.1.52,Cases of Hemolytic Anemia with Periprosthetic Leaks Evaluated by Real-Time 3-Dimensional Transesophageal Echocardiography,cases of hemolytic anemia with periprosthetic leaks evaluated by real-time 3-dimensional transesophageal echocardiography
Jong Chung,2024,10.3389/fpubh.2024.1452068,Development and validation of the Integrative Vitality Scale,development and validation of the integrative vitality scale
Jong Chung,2019,10.1038/am.2017.25,Enhanced black state induced by spatial silver nanoparticles in an electrochromic device,enhanced black state induced by spatial silver nanoparticles in an electrochromic device
Jong Chung,2010,10.4097/kjae.2010.58.5.477,Interrupted aortic arch diagnosed with loss of femoral pulse in a patient undergoing patent ductus arteriosus ligation -A case report-,interrupted aortic arch diagnosed with loss of femoral pulse in a patient undergoing patent ductus arteriosus ligation -a case report-
Jong Chung,2011,10.4070/kcj.2011.41.8.490,Hemorrhagic Transformation of Ischemic Stroke: Severe Complications of Prosthetic Valve Endocarditis,hemorrhagic transformation of ischemic stroke: severe complications of prosthetic valve endocarditis
Jong Chung,2017,10.5772/intechopen.69001,Pig-to-Nonhuman Primate (NHP) Naked Islet Xenotransplantation,pig-to-nonhuman primate (nhp) naked islet xenotransplantation
Jong Chung,2011,10.3342/ceo.2011.4.1.52,Otologic Manifestation in IgG4-Related Systemic Disease,otologic manifestation in igg4-related systemic disease
Jong Chung,2011,10.1186/1743-0003-8-4,Validity of gait parameters for hip flexor contracture in patients with cerebral palsy,validity of gait parameters for hip flexor contracture in patients with cerebral palsy
Jong Chung,2004,10.3348/kjr.2004.5.2.128,"Percutaneous Sclerotherapy of Renal Cysts with a Beta-Emitting Radionuclide, Holmium-166-chitosan Complex","percutaneous sclerotherapy of renal cysts with a beta-emitting radionuclide, holmium-166-chitosan complex"
Jong Chung,2011,10.4097/kjae.2011.61.5.439,Intraoperative hypertension in a patient with undiagnosed pheochromocytoma under spinal anesthesia,intraoperative hypertension in a patient with undiagnosed pheochromocytoma under spinal anesthesia
Samantha Zeller,2020,10.7554/elife.56450,Gli3 utilizes Hand2 to synergistically regulate tissue-specific transcriptional networks.,gli3 utilizes hand2 to synergistically regulate tissue-specific transcriptional networks.
Samantha Zeller,2014,10.14430/arctic4388,"Ringed, Bearded, and Ribbon Seal Vocalizations North of Barrow, Alaska: Seasonal Presence and Relationship with Sea Ice","ringed, bearded, and ribbon seal vocalizations north of barrow, alaska: seasonal presence and relationship with sea ice"
Samantha Zeller,2013,10.1371/journal.pone.0057376,A bird's eye view of discard reforms: bird-borne cameras reveal seabird/fishery interactions.,a bird's eye view of discard reforms: bird-borne cameras reveal seabird/fishery interactions.
Byeongdon Oh,2024,10.1177/23780231231225578,Shifting Tides: The Evolution of Racial Inequality in Higher Education from the 1980s through the 2010s,shifting tides: the evolution of racial inequality in higher education from the 1980s through the 2010s
Riley Wilson,1998,10.1080/00927879908826645,"Group algebras and enveloping algebras with nonmatrix and semigroup
  identities","group algebras and enveloping algebras with nonmatrix and semigroup
  identities"
Riley Wilson,2021,10.17848/wp21-358,Isolated States of America: The Impact of State Borders on Mobility and Regional Labor Market Adjustments,isolated states of america: the impact of state borders on mobility and regional labor market adjustments
Riley Wilson,2024,10.17848/wp24-395,"DACA, Mobility Investments, and Economic Outcomes of Immigrants and Natives","daca, mobility investments, and economic outcomes of immigrants and natives"
Riley Wilson,2018,10.13016/m29c6s42s,Essays on Individual Responses to Labor Market Conditions and Policies,essays on individual responses to labor market conditions and policies
Riley Wilson,2009,10.1371/journal.pmed.1000043,Upper-Room Ultraviolet Light and Negative Air Ionization to Prevent Tuberculosis Transmission,upper-room ultraviolet light and negative air ionization to prevent tuberculosis transmission
Riley Wilson,2022,10.1002/asi.24618,When politicians and the experts collide: Organization and the creation of information spheres,when politicians and the experts collide: organization and the creation of information spheres
Riley Wilson,2014,10.1074/jbc.m113.511972,Proteomic Analysis of Tendon Extracellular Matrix Reveals Disease Stage- specific Fragmentation and Differential Cleavage of COMP ( Cartilage Oligomeric Matrix Protein),proteomic analysis of tendon extracellular matrix reveals disease stage- specific fragmentation and differential cleavage of comp ( cartilage oligomeric matrix protein)
Riley Wilson,2015,10.1016/j.jbiomech.2015.05.022,Novice Lifters Exhibit A More Kyphotic Lifting Posture Than Experienced Lifters In Straight-Leg Lifting,novice lifters exhibit a more kyphotic lifting posture than experienced lifters in straight-leg lifting
Riley Wilson,2008,10.1371/journal.pmed.0050188,The infectiousness of tuberculosis patients coinfected with HIV,the infectiousness of tuberculosis patients coinfected with hiv
Riley Wilson,2003,10.2139/ssrn.434780,Manufacturer Liability for Harms Caused by Consumers to Others,manufacturer liability for harms caused by consumers to others
Riley Wilson,2013,10.1002/bjs.9332,Communication in the operating theatre: A systematic literature review of observational research,communication in the operating theatre: a systematic literature review of observational research
Riley Wilson,2006,10.1007/s00484-005-0014-7,The influence of the atmospheric boundary layer on nocturnal layers of noctuids and other moths migrating over southern Britain,the influence of the atmospheric boundary layer on nocturnal layers of noctuids and other moths migrating over southern britain
Riley Wilson,2017,10.3847/1538-4357/aaa413,"The GALEX View of ""Boyajian's Star"" (KIC 8462852)","the galex view of ""boyajian's star"" (kic 8462852)"
Riley Wilson,2011,10.1111/j.1439-0418.2009.01480.x,"Pest insect immigration warning system by an atmospheric dispersion model, weather radars and traps","pest insect immigration warning system by an atmospheric dispersion model, weather radars and traps"
Riley Wilson,2007,10.1016/j.nuclphysa.2007.11.012,Detecting bubbles in exotic nuclei,detecting bubbles in exotic nuclei
Riley Wilson,2023,10.1242/bio.059995,Ac/Ds transposition for CRISPR/dCas9-SID4x epigenome modulation in zebrafish,ac/ds transposition for crispr/dcas9-sid4x epigenome modulation in zebrafish
Riley Wilson,2008,10.1017/s0021859607007599,Frequency of shearing increases growth of fibre and changes objective and subjective attributes of Angora goat fleeces,frequency of shearing increases growth of fibre and changes objective and subjective attributes of angora goat fleeces
Riley Wilson,2021,10.1103/physrevapplied.15.064035,Direct Quantification of Quasi-Fermi-Level Splitting in Organic Semiconductor Devices,direct quantification of quasi-fermi-level splitting in organic semiconductor devices
Riley Wilson,2024,10.17615/s6vw-9563,In vitro and in vivo studies on the metabolism and pharmacokinetics of the selective gut microbial β-glucuronidase targeting compound Inh 1,in vitro and in vivo studies on the metabolism and pharmacokinetics of the selective gut microbial β-glucuronidase targeting compound inh 1
Riley Wilson,2014,10.1002/bies.201400100,"Microbial gardening in the ocean's twilight zone : Detritivorous metazoans benefit from fragmenting, rather than ingesting, sinking detritus","microbial gardening in the ocean's twilight zone : detritivorous metazoans benefit from fragmenting, rather than ingesting, sinking detritus"
Riley Wilson,2021,10.1038/s41598-021-88911-3,A novel <i>RLIM/RNF12</i> variant disrupts protein stability and function to cause severe Tonne-Kalscheuer syndrome,a novel <i>rlim/rnf12</i> variant disrupts protein stability and function to cause severe tonne-kalscheuer syndrome
Riley Wilson,2015,10.1136/bmjspcare-2014-000658,Managing end of life medications at home--accounts of bereaved family carers: a qualitative interview study.,managing end of life medications at home--accounts of bereaved family carers: a qualitative interview study.
Riley Wilson,2024,10.1007/s13555-024-01211-2,Psoriasis and Sleep Disturbance: A US Population-Based Study Using the NHANES Database.,psoriasis and sleep disturbance: a us population-based study using the nhanes database.
Riley Wilson,2014,10.1038/ncomms5594,Cooperative secretions facilitate host range expansion in bacteria,cooperative secretions facilitate host range expansion in bacteria
Riley Wilson,2008,10.1016/j.socscimed.2008.02.011,"You are what you eat? Vegetarianism, health and identity","you are what you eat? vegetarianism, health and identity"
Riley Wilson,2020,10.1093/rap/rkaa030,"The presentation, diagnosis and management of non-traumatic wrist pain: an evaluation of current practice in secondary care in the UK NHS","the presentation, diagnosis and management of non-traumatic wrist pain: an evaluation of current practice in secondary care in the uk nhs"
Riley Wilson,2014,10.1111/hae.12291,A review of evidence about behavioural and psychological aspects of chronic joint pain among people with haemophilia,a review of evidence about behavioural and psychological aspects of chronic joint pain among people with haemophilia
Riley Wilson,2011,10.1016/j.annals.2011.02.002,Lifestyle travellers: Backpacking as a way of life,lifestyle travellers: backpacking as a way of life
Riley Wilson,1991,10.1016/0165-3806(91)90007-6,The rate and locus of development of rat vallate taste buds,the rate and locus of development of rat vallate taste buds
Riley Wilson,2015,10.1002/hec.3351,Risk Selection under Public Health Insurance with Opt-out,risk selection under public health insurance with opt-out
Riley Wilson,2019,10.1002/ana.25463,Silent progression in disease activity-free relapsing multiple sclerosis.,silent progression in disease activity-free relapsing multiple sclerosis.
Riley Wilson,2011,10.4111/kju.2011.52.9.632,Changes in Sexual Function in Benign Prostatic Hyperplasia Patients Taking Dutasteride: 1-Year Follow-Up Results,changes in sexual function in benign prostatic hyperplasia patients taking dutasteride: 1-year follow-up results
Riley Wilson,2012,10.1007/s11606-012-2030-8,Chapter 5: Assessing Risk of Bias as a Domain of Quality in Medical Test Studies,chapter 5: assessing risk of bias as a domain of quality in medical test studies
Riley Wilson,2014,10.1016/j.vetimm.2014.01.007,Resolving an inflammatory concept: the importance of inflammation and resolution in tendinopathy,resolving an inflammatory concept: the importance of inflammation and resolution in tendinopathy
Riley Wilson,2000,10.1016/s0375-9474(00)00187-1,"Cranked Relativistic Hartree-Bogoliubov Theory: Formalism and
  Application to the Superdeformed Bands in the $A\sim 190$ region","cranked relativistic hartree-bogoliubov theory: formalism and
  application to the superdeformed bands in the $a\sim 190$ region"
Riley Wilson,2016,10.1017/jbr.2016.75,"Immigration and the Common Profit: Native Cloth Workers, Flemish Exiles, and Royal Policy in Fourteenth-Century London","immigration and the common profit: native cloth workers, flemish exiles, and royal policy in fourteenth-century london"
Riley Wilson,2019,10.1007/978-3-030-10991-2_10,Considering Intra-individual Genetic Heterogeneity to Understand Biodiversity,considering intra-individual genetic heterogeneity to understand biodiversity
Riley Wilson,2016,10.1016/j.epsl.2016.10.045,Widespread Antarctic glaciation during the Late Eocene,widespread antarctic glaciation during the late eocene
Riley Wilson,2015,10.1371/journal.pone.0121613,"First GIS analysis of modern stone tools used by wild chimpanzees (Pan troglodytes verus) in Bossou, Guinea, West Africa","first gis analysis of modern stone tools used by wild chimpanzees (pan troglodytes verus) in bossou, guinea, west africa"
Riley Wilson,2021,10.1016/j.dsm.2021.05.003,An exploratory study of the growth of the Accountable Care Organization and its impact on physician groups’ profit: a complex adaptive system approach,an exploratory study of the growth of the accountable care organization and its impact on physician groups’ profit: a complex adaptive system approach
Riley Wilson,2012,10.1016/j.physrep.2012.07.003,The Gribov problem and QCD dynamics,the gribov problem and qcd dynamics
Riley Wilson,2003,10.3201/eid0909.020608,Skunk and Raccoon Rabies in the Eastern United States: Temporal and Spatial Analysis,skunk and raccoon rabies in the eastern united states: temporal and spatial analysis
Riley Wilson,2005,10.1111/j.0022-202x.2005.23637.x,"Analysis of KIT, SCF, and Initial Screening of SLUG in Patients with Piebaldism","analysis of kit, scf, and initial screening of slug in patients with piebaldism"
Riley Wilson,2016,10.1002/2016gl070649,Role of regional wetland emissions in atmospheric methane variability,role of regional wetland emissions in atmospheric methane variability
Riley Wilson,2019,10.3390/rs12010041,Mapping heterogeneous buried archaeological features using multisensor data from unmanned aerial vehicles,mapping heterogeneous buried archaeological features using multisensor data from unmanned aerial vehicles
Riley Wilson,2017,10.1016/j.humov.2017.09.016,The effect of accounting for biarticularity in hip flexor and hip extensor joint torque representations,the effect of accounting for biarticularity in hip flexor and hip extensor joint torque representations
Riley Wilson,2016,10.1186/s12913-016-1295-8,East London’s Homeless: a retrospective review of an eye clinic for homeless people,east london’s homeless: a retrospective review of an eye clinic for homeless people
Riley Wilson,2018,10.1111/all.13402,Systemic IL-2/anti-IL-2Ab complex combined with sublingual immunotherapy suppresses experimental food allergy in mice through induction of mucosal regulatory T cells,systemic il-2/anti-il-2ab complex combined with sublingual immunotherapy suppresses experimental food allergy in mice through induction of mucosal regulatory t cells
Riley Wilson,2022,10.1029/2021sw002796,Evidence from galactic cosmic rays that the sun has likely entered a secular minimum in solar activity,evidence from galactic cosmic rays that the sun has likely entered a secular minimum in solar activity
Riley Wilson,2010,10.3390/md8041153,Bacteriocin as Weapons in the Marine Animal-Associated Bacteria Warfare: Inventory and Potential Applications as an Aquaculture Probiotic,bacteriocin as weapons in the marine animal-associated bacteria warfare: inventory and potential applications as an aquaculture probiotic
Riley Wilson,2002,10.1103/physrevd.66.091101,"Measurement of Exclusive B Decays to Final States Containing a Charmed
  Baryon","measurement of exclusive b decays to final states containing a charmed
  baryon"
Riley Wilson,2009,10.3201/eid1506.080406,Geographic Clustering of Leishmaniasis in Northeastern Brazil1,geographic clustering of leishmaniasis in northeastern brazil1
Riley Wilson,2014,10.1074/jbc.m114.566554,"Proteomic Analysis Reveals Age-related Changes in Tendon Matrix Composition, with Age- and Injury-specific Matrix Fragmentation","proteomic analysis reveals age-related changes in tendon matrix composition, with age- and injury-specific matrix fragmentation"
Riley Wilson,2001,10.1103/physrevd.65.071101,"Measurement of the Masses and Widths of the Sigma_c^++ and Sigma_c^0
  Charmed Baryons","measurement of the masses and widths of the sigma_c^++ and sigma_c^0
  charmed baryons"
Riley Wilson,2016,10.1016/j.jhealeco.2017.09.010,"Concordance of health states in couples: Analysis of self-reported, nurse administered and blood-based biomarker data in the UK Understanding Society panel","concordance of health states in couples: analysis of self-reported, nurse administered and blood-based biomarker data in the uk understanding society panel"
Riley Wilson,2001,10.1103/physrevlett.87.251808,Hadronic Mass Moments in Inclusive Semileptonic B Meson Decays,hadronic mass moments in inclusive semileptonic b meson decays
Riley Wilson,2001,10.1103/physrevd.64.111101,Evidence for the Decay $D^0\to K^+ \pi^-\pi^+\pi^-$,evidence for the decay $d^0\to k^+ \pi^-\pi^+\pi^-$
Riley Wilson,2003,10.1111/j.1365-2966.2004.07511.x,"Constraints on the energetics and plasma composition of relativistic
  jets in FR II sources","constraints on the energetics and plasma composition of relativistic
  jets in fr ii sources"
Riley Wilson,2020,10.1016/j.gsf.2019.09.009,Lead isotope evolution of the Central European upper mantle: Constraints from the Bohemian Massif,lead isotope evolution of the central european upper mantle: constraints from the bohemian massif
Riley Wilson,2024,10.1099/mgen.0.001232,Defining the phylogenetics and resistome of the major clostridioides difficile ribotypes circulating in Australia,defining the phylogenetics and resistome of the major clostridioides difficile ribotypes circulating in australia
Riley Wilson,2018,10.1016/j.jrurstud.2018.03.016,"Community resilience in rural China: the case of Hu Village, Sichuan Province","community resilience in rural china: the case of hu village, sichuan province"
Riley Wilson,2000,10.1103/physrevlett.86.3730,Observation of the $\Omega_{c}^{0}$ Charmed Baryon at CLEO,observation of the $\omega_{c}^{0}$ charmed baryon at cleo
Riley Wilson,2002,10.1103/physrevlett.88.101803,Observation of Exclusive barB --> D(*) K*- Decays,observation of exclusive barb --> d(*) k*- decays
Riley Wilson,2012,10.1051/swsc/2012003,Near-Earth Solar Wind Flows and Related Geomagnetic Activity During more than Four Solar Cycles (1963-2011),near-earth solar wind flows and related geomagnetic activity during more than four solar cycles (1963-2011)
Riley Wilson,2001,10.1103/physrevlett.86.3718,Observation of $B\to \phi K$ and $B\to \phi K^{*}$,observation of $b\to \phi k$ and $b\to \phi k^{*}$
Riley Wilson,2000,10.1103/physrevlett.86.4243,Evidence of New States Decaying into $\Xi^{\prime}_{c}\pi$,evidence of new states decaying into $\xi^{\prime}_{c}\pi$
Riley Wilson,2000,10.1103/physrevlett.86.2737,"Measurement of the Relative Branching Fraction of $\Upsilon(4S)$ to
  Charged and Neutral B-Meson Pairs","measurement of the relative branching fraction of $\upsilon(4s)$ to
  charged and neutral b-meson pairs"
Riley Wilson,2004,10.3201/eid1002.030452,"Cluster of SARS among Medical Students Exposed to Single Patient, Hong Kong","cluster of sars among medical students exposed to single patient, hong kong"
Riley Wilson,2001,10.1103/physrevd.65.012002,First Observation of barB0 to D*0 pi+pi+pi-pi- Decays,first observation of barb0 to d*0 pi+pi+pi-pi- decays
Riley Wilson,2000,10.1103/physrevlett.86.2732,"First Observation of the Decays $B^{0}\to D^{*-}p\bar{p}\pi^{+}$ and
  B^{0}\to D^{*-}p\bar{n}$","first observation of the decays $b^{0}\to d^{*-}p\bar{p}\pi^{+}$ and
  b^{0}\to d^{*-}p\bar{n}$"
Riley Wilson,1994,10.1103/physrevlett.73.3503,Semileptonic Branching Fraction of Charged and Neutral B Mesons,semileptonic branching fraction of charged and neutral b mesons
Riley Wilson,1995,10.1103/physrevlett.75.3232,Observation of the Isospin-Violating Decay $D_s^{*+}\to D_s^+\pi^0$,observation of the isospin-violating decay $d_s^{*+}\to d_s^+\pi^0$
Riley Wilson,2001,10.1103/physrevd.64.092001,"First Observation of B -> D(*) rho', rho' -> omega pi-","first observation of b -> d(*) rho', rho' -> omega pi-"
Richard Thakor,2003,10.2139/ssrn.449883,The Institutional and Individual Contributors to Research in Financial Education: 1991-2002,the institutional and individual contributors to research in financial education: 1991-2002
Richard Thakor,2021,10.1007/s10978-020-09284-6,"Bionic bodies, posthuman violence and the disembodied criminal subject","bionic bodies, posthuman violence and the disembodied criminal subject"
Richard Thakor,2019,10.1016/j.jfi.2018.06.002,Customers and Investors: A Framework for Understanding the Evolution of Financial Institutions,customers and investors: a framework for understanding the evolution of financial institutions
Timothy Collins,2007,10.24382/1430,Art Ecology and Planning: Strategic Concepts and Creativity within the Post Industrial Public Realm,art ecology and planning: strategic concepts and creativity within the post industrial public realm
Timothy Collins,2019,10.1080/14702029.2019.1633079,‘There is a work in the interpretation of the work’,‘there is a work in the interpretation of the work’
Timothy Collins,2008,10.1371/journal.pone.0003106,Computational Identification of Four Spliceosomal snRNAs from the Deep-Branching Eukaryote Giardia intestinalis,computational identification of four spliceosomal snrnas from the deep-branching eukaryote giardia intestinalis
Timothy Collins,2007,10.1186/1471-2148-7-97,"The identity, distribution, and impacts of non-native apple snails in the continental United States","the identity, distribution, and impacts of non-native apple snails in the continental united states"
Timothy Collins,2011,10.3391/ai.2011.6.1.08,Imported Asian swamp eels (Synbranchidae:  Monopterus ) in North American  live food markets:  Potential vectors of  non-native parasites,imported asian swamp eels (synbranchidae:  monopterus ) in north american  live food markets:  potential vectors of  non-native parasites
Timothy Collins,2001,10.2172/787645,Experiments on Adaptive Techniques for Host-Based Intrusion Detection,experiments on adaptive techniques for host-based intrusion detection
Timothy Collins,2011,10.1002/14651858.cd007019.pub2,"Hospital nurse staffing models and patient and staff-related

outcomes","hospital nurse staffing models and patient and staff-related

outcomes"
Timothy Collins,2019,10.1029/2018gl081462,Global mean surface temperature response to large-scale patterns of variability in observations and CMIP5,global mean surface temperature response to large-scale patterns of variability in observations and cmip5
Timothy Collins,2018,10.1021/nn2003629,Cyclical 'flipping' of morphology in block copolymer films,cyclical 'flipping' of morphology in block copolymer films
Timothy Collins,2007,10.1038/msb4100118,Size matters: network inference tackles the genome scale,size matters: network inference tackles the genome scale
Timothy Collins,2019,10.7717/peerj.6569,A novel and enigmatic two-holed shell aperture in a new species of suspension-feeding worm-snail (Vermetidae),a novel and enigmatic two-holed shell aperture in a new species of suspension-feeding worm-snail (vermetidae)
Timothy Collins,2021,10.1145/3384420.3431776,Poster: Heart Rate Performance of a Medical-Grade Data Streaming Wearable Device,poster: heart rate performance of a medical-grade data streaming wearable device
Timothy Collins,2012,10.1007/s13320-012-0068-1,Modeling of gold circular sub-wavelength apertures on a fiber endface for refractive index sensing,modeling of gold circular sub-wavelength apertures on a fiber endface for refractive index sensing
Timothy Collins,2012,10.1016/j.cub.2012.08.051,Localized Tensional Forces on PECAM-1 Elicit a Global Mechanotransduction Response via the Integrin-RhoA Pathway ,localized tensional forces on pecam-1 elicit a global mechanotransduction response via the integrin-rhoa pathway
Timothy Collins,2016,10.1002/2016gl069922,Phytoplankton blooms weakly influence the cloud forming ability of sea spray aerosol,phytoplankton blooms weakly influence the cloud forming ability of sea spray aerosol
Timothy Collins,1998,10.1084/jem.188.9.1621,Mechanisms of Acute Eosinophil Mobilization from the Bone  Marrow Stimulated by Interleukin 5: The Role of Specific  Adhesion Molecules and Phosphatidylinositol 3-Kinase,mechanisms of acute eosinophil mobilization from the bone  marrow stimulated by interleukin 5: the role of specific  adhesion molecules and phosphatidylinositol 3-kinase
Timothy Collins,2024,10.7922/g26q1vkr,Moving Beyond the Colors: The Full Life-Cycle Emissions of Hydrogen Production Pathways for California,moving beyond the colors: the full life-cycle emissions of hydrogen production pathways for california
Timothy Collins,2002,10.3201/eid0811.020318,Molecular Analysis of Sarcoidosis Tissues for Mycobacterium Species DNA,molecular analysis of sarcoidosis tissues for mycobacterium species dna
Timothy Collins,2018,10.17863/cam.23387,The motor and cognitive features of Parkinson's disease in patients with concurrent Gaucher disease over 2 years: a case series.,the motor and cognitive features of parkinson's disease in patients with concurrent gaucher disease over 2 years: a case series.
Timothy Collins,1997,10.1103/physrevd.58.034503,A quark action for very coarse lattices,a quark action for very coarse lattices
Timothy Collins,2021,10.17161/randa.v28i2.15599,"Extreme male color polymorphism supports the introduction of multiple native-range Panther Chameleon (Furcifer pardalis) lineages to Florida, USA","extreme male color polymorphism supports the introduction of multiple native-range panther chameleon (furcifer pardalis) lineages to florida, usa"
Timothy Collins,2020,10.1111/jan.14724,"The relationship between work-life balance, the need for achievement, and intention to leave: Mixed-method study","the relationship between work-life balance, the need for achievement, and intention to leave: mixed-method study"
Timothy Collins,2014,10.1371/journal.pone.0104173,Genetic Evidence for Multiple Sources of the Non-Native Fish Cichlasoma urophthalmus (Günther; Mayan Cichlids) in Southern Florida,genetic evidence for multiple sources of the non-native fish cichlasoma urophthalmus (günther; mayan cichlids) in southern florida
Timothy Collins,2019,10.1136/bmjhci-2019-100083,Investigation of wearable health tracker version updates,investigation of wearable health tracker version updates
Timothy Collins,2019,10.3390/electronics8121441,Automated Low-Cost Photogrammetric Acquisition of 3D Models from Small Form-Factor Artefacts,automated low-cost photogrammetric acquisition of 3d models from small form-factor artefacts
Timothy Collins,2009,10.1029/2009jd011749,Forcing and response in simulated 20th and 21st century surface energy and precipitation trends,forcing and response in simulated 20th and 21st century surface energy and precipitation trends
Timothy Collins,2000,10.17615/a5s8-nk86,MEK Inhibition Enhances Paclitaxel-induced Tumor Apoptosis,mek inhibition enhances paclitaxel-induced tumor apoptosis
Timothy Collins,2014,10.1042/bj20131477,Detergent-free purification of ABC (ATP-binding-cassette) transporters,detergent-free purification of abc (atp-binding-cassette) transporters
Timothy Collins,2011,10.1186/1532-429x-13-s1-p234,Time-resolved mr venography pre catheter-based ablation for atrial fibrillation,time-resolved mr venography pre catheter-based ablation for atrial fibrillation
Timothy Collins,2017,10.3390/ani7100076,Objective measures for the assessment of post-operative pain in bos indicus bull calves following castration,objective measures for the assessment of post-operative pain in bos indicus bull calves following castration
Timothy Collins,2020,10.1002/chem.202003895,Stabilization of black phosphorus by sonication-assisted simultaneous exfoliation and functionalization,stabilization of black phosphorus by sonication-assisted simultaneous exfoliation and functionalization
Timothy Collins,2019,10.1021/acs.langmuir.8b04190,Evaluating the surface chemistry of black phosphorus during ambient degradation,evaluating the surface chemistry of black phosphorus during ambient degradation
Timothy Collins,2012,10.1525/bio.2012.62.4.9,"Past, present, and future roles of long-term experiments in the LTER Network","past, present, and future roles of long-term experiments in the lter network"
Timothy Collins,2021,10.3389/fmicb.2020.597944/full,Wine Terroir and the Soil Bacteria: An Amplicon Sequencing-Based Assessment of the Barossa Valley and Its Sub-Regions,wine terroir and the soil bacteria: an amplicon sequencing-based assessment of the barossa valley and its sub-regions
Timothy Collins,2005,10.1086/431357,"The C4 Clustering Algorithm: Clusters of Galaxies in the Sloan Digital
  Sky Survey","the c4 clustering algorithm: clusters of galaxies in the sloan digital
  sky survey"
Timothy Collins,2007,10.1038/msb4100125,A network biology approach to prostate cancer,a network biology approach to prostate cancer
Timothy Collins,2004,10.1139/h04-026,"Acute interleukin-6 administration impairs athletic performance in healthy, trained male runners","acute interleukin-6 administration impairs athletic performance in healthy, trained male runners"
Timothy Collins,2017,10.17863/cam.33202,The York Gospels: a 1000-year biological palimpsest.,the york gospels: a 1000-year biological palimpsest.
Justin R Pierce,2011,10.2139/ssrn.1515690,Plant-Level Responses to Antidumping Duties: Evidence from U.S. Manufacturers,plant-level responses to antidumping duties: evidence from u.s. manufacturers
Justin R Pierce,2014,10.5094/apr.2014.040,"Diesel particulate matter emission factors and air quality implications from in–service rail in Washington State, USA ","diesel particulate matter emission factors and air quality implications from in–service rail in washington state, usa"
