"Title","Abstract","DOI","No. Researchers","Researchers","Year","RDC","Dataset Mentions","Keywords"
"A census of subject pool characteristics and policies.","","10.1037/0003-066x.44.7.1053","2.0","Joan E. Sieber; Michael J. Saks","1989.0","","","census; pool; characteristics; policies"
"Insulin receptor substrate-1 (IRS-1) expression in rat brain.","IRS-1 is phosphorylated on tyrosine residues after insulin stimulation and participates in the early events of signal transduction in peripheral insulin-sensitive tissues. This study determined whether neuronal populations in the rat olfactory bulb and hippocampus (brain regions which have very high concentrations of insulin receptors) also express IRS-1 and contain phosphotyrosine, using in situ hybridization, receptor binding, and immunocytochemistry. IRS-1 mRNA was colocalized with insulin receptor mRNA in neuron cell bodies of hippocampus and olfactory bulb. Similarly, IRS-1 immunoreactivity in hippocampus and olfactory bulb was concentrated in layers that contain synapses of these neurons and have both high insulin binding and phosphotyrosine levels. Thus, IRS-1 and insulin receptors are coexpressed in discrete populations of neurons, suggesting a signal transduction mechanism by which insulin may influence metabolism and gene expression in the brain.","10.1210/endo.134.4.7511094","6.0","D G Baskin; Michael W. Schwartz; Alfred J. Sipols; David A. D’Alessio; B. J. Goldstein; Morris F. White","1994.0","","","insulin; receptor; substrate; irs; expression; rat; brain"
"Imputing Missing Values in the US Census Bureau's County Business Patterns","The County Business Patterns data published by the US Census Bureau track employment by county and industry from 1946 to the present.Two features of the data limit their usefulness to researchers: (1) employment for the majority of county-industry cells is suppressed to protect confidentiality, and (2) industry classifications change over time.We address both issues.First, we develop a linear programming method that exploits the large set of adding-up constraints implicit in the hierarchical arrangement of the data to impute missing employment.Second, we provide concordances to map all data to a consistent set of industry codes.Finally, we construct a user-friendly, 1975 to 2016 county-level panel that classifies industries according to a consistent set of 2012 NAICS codes in all years.","10.3386/w26632","4.0","Fabian Eckert; Teresa Fort; Peter K. Schott; Natalie Yang","2020.0","","","values; us; census; bureau; county; business; patterns"
"Southern Giant Petrel census data within the Australian Antarctic Territory","Historic field reports and other primary literature were re-examined and intrepreted into a consistent format for an analysis of the Southern Giant Petrel Macronetes giganteus census data within the Australian Antarctic Territory. Population data has been forwarded to Agreement on the Conservation of Albatrosses and Petrels (ACAP) for their species assessments.","10.15468/brmylu","1.0","Registry-Migration.Gbif.Org","2022.0","","","southern; giant; petrel; census; antarctic; territory"
"Energy poverty and solid fuels use in rural China: Analysis based on national population census","","10.1016/j.esd.2014.08.006","2.0","Xin Tang; Hua Liao","2014.0","","","energy; poverty; fuels; china; population; census"
"Synthesis and proton conductivity of sulfonic acid functionalized zeolite BEA nanocrystals","","10.1016/j.micromeso.2005.01.010","4.0","Brett A. Holmberg; Son‐Jong Hwang; Mark E. Davis; Yushan Yan","2005.0","","","synthesis; proton; conductivity; acid; bea; nanocrystals"
"Accuracy and Precision of Aerial Moose Censusing","Forty-nine observers flew 72 replicate counts over four fenced 1-square-mile (2.6 km'2) moose (Alces alces) enclosures. Under the most ideal conditions, experienced observers flying 15 minutes over each square mile in PA-18-150 aircraft saw only 68 percent of the moose present. Inexperienced observers saw 43 percent. Accuracy of counts was significantly affected by observer experience and currency, by number of observers, by snow conditions, by habitat and terrain, and by time of day. Moose density did not affect accuracy of counts at densities of seven or more per square mile. Counts were relatively precise within individual experienced observers (C.V. = 7-18 percent) and within some experience-current groups (C.V. = 8.5-9.9 percent). Experienced observers without current experience were both imprecise (C.V. = 24 percent) and inaccurate (46 percent). Aerial counts are not considered valid estimates of absolute moose numbers, but may be used as trend indicators in carefully controlled situations. J. WILDL. MANAGE. 38(2):175-182 Aerial censusing is presently the only practical way to estimate moose numbers in most of North America (Rausch and Bratlie 1965, Rausch and Bishop 1968, Bishop 1969, Bergerud and Manuel 1969). Determination of the extent to which such methods underestimate numbers has remained a problem when absolute numbers are sought. Benson (1966), Goddard (1966), and Bergerud (1968) have reviewed aerial censusing techniques and have suggested that substantial errors are inherent in most. Caughley and Goddard (1972) have suggested statistical methods for estimating these errors. Siniff and Skoog's (1964) random stratified, quadrat sampling method, modified for moose by Evans et al. (1966), made population estimations more plausible, but these techniques were still predicated on knowing what proportion of animals flown over were actually observed. More recently Mantle (1972) in Ontario and Jordan on Isle Royale (Personal communication) have xperimented with aggregate-related counting methods and new flight-path techniques. Many people participated and assisted in this study. We thank all counters and pilots involved. Special thanks go to A. Anderson of Andy's Flying Service, Inc. (Kenai) for his skillful piloting and other assistance, to R. A. Richey of the Kenai National Moose Range, and to J. L. Davis and L. Nichols, Alaska Department of Fish and Game. J. L. Oldemeyer, A. W. Franzmann, D. E. McKnight, and R. H. Bishop read the manuscript and offered helpful suggestions. J. L. Oldemeyer and S. J. Harbo offered statistical assistance during study design and analysis.","10.2307/3800722","2.0","Robert E. LeResche; Robert Rausch","1974.0","USC","","accuracy; precision; aerial; moose; censusing"
"Nedd4-induced monoubiquitination of IRS-2 enhances IGF signalling and mitogenic activity","Insulin-like growth factors (IGFs) induce proliferation of various cell types and play important roles in somatic growth and cancer development. Phosphorylation of insulin receptor substrate (IRS)-1/2 by IGF-I receptor tyrosine kinase is essential for IGF action. Here we identify Nedd4 as an IRS-2 ubiquitin ligase. Nedd4 monoubiquitinates IRS-2, which promotes its association with Epsin1, a ubiquitin-binding protein. Nedd4 recruits IRS-2 to the membrane, probably through promoting Epsin1 binding, and enhances IGF-I receptor-induced IRS-2 tyrosine phosphorylation. In thyroid FRTL-5 cells, activation of the cyclic AMP pathway increases the association of Nedd4 with IRS-2, thereby enhancing IRS-2-mediated signalling and cell proliferation induced by IGF-I. The Nedd4 and IRS-2 association is also required for maximal activation of IGF-I signalling and cell proliferation in prostate cancer PC-3 cells. Nedd4 overexpression accelerates zebrafish embryonic growth through IRS-2 in vivo. We conclude that Nedd4-induced monoubiquitination of IRS-2 enhances IGF signalling and mitogenic activity. Phosphorylation of insulin receptor substrate (IRS)-1/2 by insulin-like growth factor (IGF)-I receptor tyrosine kinase is essential for IGF signalling. Here, the authors show that monoubiquitination of IRS-2 by the ubiquitin ligase Nedd4 recruits IRS-2 to the cell membrane and increases IRS-2 phosphorylation and IGF signalling.","10.1038/ncomms7780","16.0","Toshiaki Fukushima; Hidehito Yoshihara; Haruka Furuta; Hiroyasu Kamei; Fumihiko Hakuno; Jing Luan; Cunming Duan; Yasushi Saeki; Keiji Tanaka; Shun-ichiro Iemura; Tohru Natsume; Kazuhiro Chida; Yusuke Nakatsu; Hideaki Kamata; Tomoichiro Asano; Shin‐Ichiro Takahashi","2015.0","","","nedd; monoubiquitination; irs; enhances; igf; signalling; activity"
"Graphical Display and Interpretation of Antelope Census Data in African Wildlife Areas, Using Correspondence Analysis","Census data are represented on 17 antelope genera, constituting 9 tribes, in 16 sub—Saharan African wildlife areas. A multidimensional graphical technique, correspondence analysis, is described and then used to represent the genera, or tribes, and the wildlife areas in a joint planar display. The interpretation of these displays is discussed in the light of supplementary ecological information available for each wildlife area. In the displays of the present analysis gross vegetational physiogonomy, that is height and spacing of the cover, emerges as the most important influence on the grouping of ecosystems, antelope tribes, and ecosystems with tribes.","10.2307/1938070","2.0","Michael Greenacre; Elisabeth S. Vrba","1984.0","","","display; interpretation; antelope; census; african; wildlife; areas; using; correspondence"
"Down-Regulation of Honey Bee IRS Gene Biases Behavior toward Food Rich in Protein","Food choice and eating behavior affect health and longevity. Large-scale research efforts aim to understand the molecular and social/behavioral mechanisms of energy homeostasis, body weight, and food intake. Honey bees (Apis mellifera) could provide a model for these studies since individuals vary in food-related behavior and social factors can be controlled. Here, we examine a potential role of peripheral insulin receptor substrate (IRS) expression in honey bee foraging behavior. IRS is central to cellular nutrient sensing through transduction of insulin/insulin-like signals (IIS). By reducing peripheral IRS gene expression and IRS protein amount with the use of RNA interference (RNAi), we demonstrate that IRS influences foraging choice in two standard strains selected for different food-hoarding behavior. Compared with controls, IRS knockdowns bias their foraging effort toward protein (pollen) rather than toward carbohydrate (nectar) sources. Through control experiments, we establish that IRS does not influence the bees' sucrose sensory response, a modality that is generally associated with food-related behavior and specifically correlated with the foraging preference of honey bees. These results reveal a new affector pathway of honey bee social foraging, and suggest that IRS expressed in peripheral tissue can modulate an insect's foraging choice between protein and carbohydrate sources.","10.1371/journal.pgen.1000896","7.0","Hongfang Wang; Navdeep S. Mutti; Kate E. Ihle; Adam J. Siegel; Adam G. Dolezal; Osman Kaftanoğlu; Gro V. Amdam","2010.0","","","down; regulation; honey; bee; irs; gene; biases; behavior; food; rich; protein"
